case_id,court,case_type,filing_date,filing_year,disposal_date,duration_months,event,hearings,adjournments,current_age_months
NG-00031,Lucknow District Court,Cheque Bounce,2021-12-01,2021,2024-03-25 04:27:42.050745745,27.77,1,7,2,27.77
NG-00032,Delhi District Court,Cheque Bounce,2018-07-01,2018,2020-12-30 16:40:57.487610023,30.02,1,11,5,30.02
NG-00033,Delhi District Court,Cheque Bounce,2018-11-01,2018,2019-09-20 20:55:24.611478058,10.64,1,3,2,10.64
NG-00034,Lucknow District Court,Civil Dispute,2023-02-01,2023,,40.93,0,10,0,40.93
NG-00035,Noida District Court,Cheque Bounce,2019-06-01,2019,2021-03-02 20:52:48.231157938,21.05,1,7,3,21.05
NG-00036,Lucknow District Court,Cheque Bounce,2023-03-01,2023,2025-03-03 22:30:59.471157156,24.11,1,5,5,24.11
NG-00037,Lucknow District Court,Motor Accident,2020-04-01,2020,2023-12-21 19:44:05.125242209,44.67,1,10,3,44.67
NG-00038,Noida District Court,Motor Accident,2023-06-01,2023,2025-05-01 04:30:01.374744804,23.0,1,3,7,23.0
NG-00039,Noida District Court,Cheque Bounce,2024-07-01,2024,,23.98,0,10,5,23.98
NG-00040,Jaipur District Court,Property,2022-10-01,2022,2023-11-18 20:33:01.728486362,13.6,1,4,1,13.6
NG-00041,Delhi District Court,Family,2024-05-01,2024,2025-12-14 20:49:56.716779933,19.48,1,4,2,19.48
NG-00042,Lucknow District Court,Family,2020-03-01,2020,2021-04-15 15:07:22.501449647,13.49,1,8,1,13.49
NG-00043,Jaipur District Court,Civil Dispute,2025-10-01,2025,,8.97,0,8,1,8.97
NG-00044,Noida District Court,Civil Dispute,2025-08-01,2025,,10.97,0,10,4,10.97
NG-00045,Noida District Court,Civil Dispute,2024-01-01,2024,2025-07-14 00:24:07.146604635,18.4,1,11,4,18.4
NG-00046,Jaipur District Court,Cheque Bounce,2018-03-01,2018,2021-09-30 15:04:12.178697286,43.02,1,4,1,43.02
NG-00047,Noida District Court,Civil Dispute,2019-06-01,2019,2021-05-23 06:41:05.435772613,23.73,1,1,2,23.73
NG-00048,Noida District Court,Civil Dispute,2021-06-01,2021,2022-11-18 01:51:50.415959111,17.58,1,8,1,17.58
NG-00049,Delhi District Court,Cheque Bounce,2019-04-01,2019,2023-01-04 17:59:06.800044663,45.16,1,3,1,45.16
NG-00050,Delhi District Court,Property,2023-11-01,2023,,31.96,0,3,4,31.96
NG-00051,Delhi District Court,Family,2020-02-01,2020,2021-07-16 21:18:53.372549272,17.47,1,4,1,17.47
NG-00052,Jaipur District Court,Family,2020-09-01,2020,2022-08-26 06:14:10.964336470,23.79,1,6,2,23.79
NG-00053,Jaipur District Court,Cheque Bounce,2022-07-01,2022,2026-04-06 18:36:34.212938388,45.2,1,6,2,45.2
NG-00054,Lucknow District Court,Motor Accident,2024-04-01,2024,,26.97,0,10,3,26.97
NG-00055,Delhi District Court,Cheque Bounce,2023-05-01,2023,2026-02-02 15:52:36.996196797,33.14,1,8,5,33.14
NG-00056,Lucknow District Court,Family,2022-02-01,2022,2025-03-07 13:58:07.018650160,37.14,1,6,2,37.14
NG-00057,Delhi District Court,Motor Accident,2022-07-01,2022,2023-10-24 03:39:10.253574385,15.77,1,4,3,15.77
NG-00058,Noida District Court,Motor Accident,2020-04-01,2020,2022-09-06 05:39:21.120209078,29.18,1,5,4,29.18
NG-00059,Noida District Court,Motor Accident,2024-10-01,2024,,20.96,0,7,3,20.96
NG-00060,Lucknow District Court,Motor Accident,2020-08-01,2020,2022-03-10 04:40:44.302899901,19.26,1,8,2,19.26
NG-00061,Jaipur District Court,Civil Dispute,2021-03-01,2021,2024-01-23 09:06:48.469999512,34.77,1,8,5,34.77
NG-00062,Delhi District Court,Cheque Bounce,2019-12-01,2019,2023-03-09 14:29:53.449030135,39.24,1,6,2,39.24
NG-00063,Lucknow District Court,Property,2021-08-01,2021,2025-03-12 20:06:29.318311869,43.36,1,7,5,43.36
NG-00064,Delhi District Court,Property,2024-01-01,2024,2025-11-13 19:49:22.517477855,22.43,1,5,3,22.43
NG-00065,Noida District Court,Property,2023-01-01,2023,,41.95,0,6,5,41.95
NG-00066,Noida District Court,Family,2021-05-01,2021,2023-01-20 04:25:38.931981404,20.67,1,9,1,20.67
NG-00067,Noida District Court,Civil Dispute,2018-10-01,2018,2022-03-08 22:12:51.955922586,41.23,1,6,3,41.23
NG-00068,Delhi District Court,Motor Accident,2022-08-01,2022,2024-08-14 07:10:39.819389502,24.45,1,6,5,24.45
NG-00069,Jaipur District Court,Property,2021-10-01,2021,,56.96,0,12,2,56.96
NG-00070,Noida District Court,Motor Accident,2022-03-01,2022,2023-03-05 00:46:38.301659417,12.12,1,4,2,12.12
NG-00071,Lucknow District Court,Civil Dispute,2019-05-01,2019,2021-07-08 19:34:31.064319626,26.28,1,8,2,26.28
NG-00072,Jaipur District Court,Family,2024-08-01,2024,,22.96,0,9,5,22.96
NG-00073,Jaipur District Court,Property,2024-03-01,2024,,27.99,0,5,0,27.99
NG-00074,Lucknow District Court,Family,2018-01-01,2018,2020-04-25 00:55:09.871410570,27.76,1,8,2,27.76
NG-00075,Jaipur District Court,Civil Dispute,2024-04-01,2024,,26.97,0,4,1,26.97
NG-00076,Noida District Court,Motor Accident,2024-02-01,2024,,28.94,0,9,5,28.94
NG-00077,Noida District Court,Cheque Bounce,2021-04-01,2021,2022-05-28 13:18:36.063492808,13.88,1,9,0,13.88
NG-00078,Noida District Court,Property,2024-03-01,2024,2025-08-25 06:33:38.156815837,17.81,1,7,2,17.81
NG-00079,Jaipur District Court,Cheque Bounce,2019-08-01,2019,2021-01-28 23:50:52.362843858,17.97,1,4,4,17.97
NG-00080,Lucknow District Court,Property,2021-02-01,2021,2024-06-14 06:27:03.689686097,40.38,1,9,3,40.38
NG-00081,Lucknow District Court,Cheque Bounce,2022-08-01,2022,,46.98,0,6,4,46.98
NG-00082,Noida District Court,Civil Dispute,2020-08-01,2020,2022-07-24 11:06:55.319375018,23.73,1,5,2,23.73
NG-00083,Jaipur District Court,Motor Accident,2020-12-01,2020,2025-03-04 23:58:13.776381814,51.08,1,7,0,51.08
NG-00084,Lucknow District Court,Cheque Bounce,2020-09-01,2020,2023-06-29 05:45:35.116747626,33.88,1,4,3,33.88
NG-00085,Noida District Court,Property,2024-03-01,2024,2026-03-22 01:14:04.932389204,24.67,1,10,4,24.67
NG-00086,Jaipur District Court,Motor Accident,2018-04-01,2018,2021-11-07 17:12:36.965352147,43.26,1,6,3,43.26
NG-00087,Lucknow District Court,Cheque Bounce,2019-07-01,2019,2022-12-11 23:03:59.652157227,41.39,1,6,4,41.39
NG-00088,Delhi District Court,Motor Accident,2021-12-01,2021,,54.96,0,4,3,54.96
NG-00089,Jaipur District Court,Motor Accident,2022-11-01,2022,,43.96,0,5,2,43.96
NG-00090,Jaipur District Court,Motor Accident,2019-12-01,2019,2021-07-14 16:00:47.294492736,19.44,1,12,1,19.44
NG-00091,Jaipur District Court,Motor Accident,2021-11-01,2021,2024-02-08 12:41:10.102401680,27.25,1,4,4,27.25
NG-00092,Jaipur District Court,Cheque Bounce,2019-07-01,2019,2022-01-12 11:12:44.844131661,30.44,1,9,3,30.44
NG-00093,Noida District Court,Civil Dispute,2019-03-01,2019,2020-02-19 15:38:53.095208608,11.68,1,7,3,11.68
NG-00094,Jaipur District Court,Civil Dispute,2025-06-01,2025,,12.98,0,4,4,12.98
NG-00095,Jaipur District Court,Civil Dispute,2024-06-01,2024,,24.97,0,12,2,24.97
NG-00096,Jaipur District Court,Motor Accident,2023-04-01,2023,2024-09-30 03:39:54.302537917,18.01,1,5,4,18.01
NG-00097,Noida District Court,Civil Dispute,2020-05-01,2020,2022-08-16 13:20:06.340303213,27.51,1,9,1,27.51
NG-00098,Delhi District Court,Cheque Bounce,2025-10-01,2025,,8.97,0,5,4,8.97
NG-00099,Noida District Court,Cheque Bounce,2021-09-01,2021,2024-07-26 15:07:58.381311616,34.81,1,7,6,34.81
NG-00100,Delhi District Court,Motor Accident,2021-05-01,2021,2024-12-13 03:44:10.750591870,43.43,1,4,4,43.43
NG-00101,Lucknow District Court,Motor Accident,2020-10-01,2020,2023-08-12 15:58:52.007689839,34.35,1,8,4,34.35
NG-00102,Delhi District Court,Motor Accident,2025-01-01,2025,,17.94,0,6,1,17.94
NG-00103,Jaipur District Court,Property,2024-09-01,2024,,21.94,0,9,2,21.94
NG-00104,Jaipur District Court,Family,2023-04-01,2023,2025-10-17 11:39:41.981593596,30.57,1,5,2,30.57
NG-00105,Noida District Court,Cheque Bounce,2024-05-01,2024,,25.99,0,8,6,25.99
NG-00106,Lucknow District Court,Civil Dispute,2021-02-01,2021,2024-07-16 16:46:05.687271505,41.45,1,10,6,41.45
NG-00107,Delhi District Court,Cheque Bounce,2025-08-01,2025,,10.97,0,12,3,10.97
NG-00108,Noida District Court,Motor Accident,2024-01-01,2024,,29.96,0,8,3,29.96
NG-00109,Noida District Court,Property,2023-05-01,2023,2025-03-21 17:20:17.155481337,22.69,1,9,4,22.69
NG-00110,Jaipur District Court,Cheque Bounce,2021-01-01,2021,2023-07-26 15:20:41.743758016,30.77,1,9,3,30.77
NG-00111,Lucknow District Court,Cheque Bounce,2020-10-01,2020,2024-07-14 03:49:23.718299456,45.41,1,7,4,45.41
NG-00112,Delhi District Court,Property,2019-08-01,2019,2021-04-27 12:11:18.155484522,20.88,1,6,1,20.88
NG-00113,Lucknow District Court,Motor Accident,2019-06-01,2019,2023-10-17 12:34:05.339401639,52.55,1,9,4,52.55
NG-00114,Jaipur District Court,Cheque Bounce,2021-03-01,2021,2023-02-15 17:06:36.498320141,23.55,1,1,3,23.55
NG-00115,Delhi District Court,Cheque Bounce,2025-05-01,2025,,13.99,0,11,1,13.99
NG-00116,Jaipur District Court,Motor Accident,2018-07-01,2018,2023-06-17 06:18:39.412143492,59.54,1,13,4,59.54
NG-00117,Noida District Court,Cheque Bounce,2020-06-01,2020,2022-10-23 05:48:01.376159339,28.72,1,5,1,28.72
NG-00118,Delhi District Court,Cheque Bounce,2018-01-01,2018,2021-12-02 16:39:25.656593806,47.03,1,5,1,47.03
NG-00119,Delhi District Court,Cheque Bounce,2018-08-01,2018,2022-04-29 10:20:51.337735134,44.92,1,8,2,44.92
NG-00120,Lucknow District Court,Family,2020-01-01,2020,2021-07-23 19:11:11.524743983,18.72,1,9,0,18.72
NG-00121,Delhi District Court,Cheque Bounce,2021-02-01,2021,2022-04-17 14:24:48.898591522,14.47,1,6,5,14.47
NG-00122,Lucknow District Court,Property,2022-02-01,2022,2024-07-06 16:08:04.890751641,29.13,1,9,1,29.13
NG-00123,Jaipur District Court,Cheque Bounce,2023-12-01,2023,,30.98,0,9,2,30.98
NG-00124,Lucknow District Court,Civil Dispute,2022-05-01,2022,2025-07-29 23:06:34.033870284,38.96,1,9,2,38.96
NG-00125,Delhi District Court,Civil Dispute,2021-07-01,2021,,59.99,0,5,0,59.99
NG-00126,Jaipur District Court,Civil Dispute,2024-10-01,2024,,20.96,0,5,1,20.96
NG-00127,Noida District Court,Property,2018-03-01,2018,2019-11-07 22:42:17.990302285,20.27,1,8,2,20.27
NG-00128,Lucknow District Court,Civil Dispute,2018-06-01,2018,2021-10-18 11:42:31.412124069,40.59,1,5,1,40.59
NG-00129,Jaipur District Court,Motor Accident,2022-12-01,2022,2025-03-10 22:14:51.688015540,27.3,1,9,0,27.3
NG-00130,Noida District Court,Family,2021-03-01,2021,2022-07-20 07:39:24.589955125,16.63,1,9,2,16.63
NG-00131,Lucknow District Court,Family,2019-05-01,2019,2022-02-13 19:26:11.573733624,33.5,1,10,1,33.5
NG-00132,Delhi District Court,Cheque Bounce,2025-02-01,2025,,16.92,0,3,1,16.92
NG-00133,Noida District Court,Cheque Bounce,2020-08-01,2020,2022-04-26 04:37:55.931319200,20.8,1,14,3,20.8
NG-00134,Delhi District Court,Cheque Bounce,2023-10-01,2023,2026-01-26 01:21:55.479964340,27.86,1,6,2,27.86
NG-00135,Delhi District Court,Motor Accident,2020-12-01,2020,,66.95,0,6,3,66.95
NG-00136,Noida District Court,Motor Accident,2022-11-01,2022,2024-05-11 06:15:55.225971377,18.31,1,7,2,18.31
NG-00137,Delhi District Court,Property,2018-04-01,2018,2023-07-19 18:19:47.399298176,63.59,1,8,1,63.59
NG-00138,Noida District Court,Motor Accident,2025-02-01,2025,,16.92,0,7,3,16.92
NG-00139,Delhi District Court,Property,2020-06-01,2020,2021-09-26 04:52:26.846883788,15.84,1,8,2,15.84
NG-00140,Delhi District Court,Property,2020-05-01,2020,2022-09-29 13:17:23.506372158,28.96,1,9,4,28.96
NG-00141,Jaipur District Court,Property,2024-01-01,2024,2025-10-04 07:21:05.339470898,21.1,1,8,3,21.1
NG-00142,Jaipur District Court,Cheque Bounce,2023-02-01,2023,2025-06-28 08:42:23.686349581,28.86,1,9,1,28.86
NG-00143,Lucknow District Court,Family,2025-03-01,2025,,16.0,0,8,1,16.0
NG-00144,Noida District Court,Cheque Bounce,2018-10-01,2018,2020-10-25 11:49:15.728222519,24.82,1,4,0,24.82
NG-00145,Noida District Court,Cheque Bounce,2019-02-01,2019,2021-10-26 07:01:05.703011114,32.8,1,9,0,32.8
NG-00146,Jaipur District Court,Family,2025-04-01,2025,2026-04-22 18:44:46.844930641,12.71,1,5,0,12.71
NG-00147,Noida District Court,Civil Dispute,2022-04-01,2022,,50.99,0,6,4,50.99
NG-00148,Lucknow District Court,Civil Dispute,2021-04-01,2021,2024-02-08 15:14:26.332013613,34.28,1,6,3,34.28
NG-00149,Noida District Court,Motor Accident,2024-04-01,2024,,26.97,0,5,3,26.97
NG-00150,Delhi District Court,Property,2019-10-01,2019,2022-05-27 08:24:45.842544207,31.84,1,12,1,31.84
NG-00151,Lucknow District Court,Cheque Bounce,2025-02-01,2025,,16.92,0,8,5,16.92
NG-00152,Delhi District Court,Family,2021-12-01,2021,2024-08-17 18:18:25.113109017,32.55,1,5,4,32.55
NG-00153,Lucknow District Court,Property,2022-01-01,2022,,53.94,0,5,3,53.94
NG-00154,Jaipur District Court,Civil Dispute,2023-06-01,2023,2025-03-11 01:59:49.015040976,21.32,1,5,1,21.32
NG-00155,Lucknow District Court,Cheque Bounce,2019-03-01,2019,2023-04-20 23:10:59.622004810,49.67,1,8,4,49.67
NG-00156,Noida District Court,Cheque Bounce,2023-09-01,2023,2025-01-14 02:37:16.875398236,16.46,1,9,1,16.46
NG-00157,Noida District Court,Cheque Bounce,2019-11-01,2019,2025-08-11 09:44:55.934049454,69.33,1,6,7,69.33
NG-00158,Jaipur District Court,Family,2019-05-01,2019,2022-01-31 09:13:38.127672693,33.06,1,4,2,33.06
NG-00159,Jaipur District Court,Civil Dispute,2020-07-01,2020,2024-10-13 02:44:46.902871593,51.42,1,6,1,51.42
NG-00160,Jaipur District Court,Family,2019-07-01,2019,2020-10-31 20:29:20.428904555,16.06,1,4,1,16.06
NG-00161,Noida District Court,Property,2024-02-01,2024,2026-02-27 20:59:34.303527738,24.9,1,6,1,24.9
NG-00162,Jaipur District Court,Cheque Bounce,2019-06-01,2019,2022-04-24 12:00:14.522779647,34.77,1,7,5,34.77
NG-00163,Delhi District Court,Property,2019-10-01,2019,2024-03-15 18:45:57.264579763,53.48,1,14,4,53.48
NG-00164,Delhi District Court,Cheque Bounce,2022-06-01,2022,,48.98,0,10,6,48.98
NG-00165,Delhi District Court,Family,2024-01-01,2024,2025-08-08 15:57:34.236669614,19.24,1,7,4,19.24
NG-00166,Noida District Court,Property,2022-06-01,2022,2024-08-08 02:02:17.442975981,26.25,1,10,3,26.25
NG-00167,Noida District Court,Motor Accident,2022-05-01,2022,2024-10-20 20:20:49.895424902,29.69,1,8,4,29.69
NG-00168,Noida District Court,Cheque Bounce,2022-08-01,2022,2023-12-21 15:32:45.398026080,16.68,1,6,1,16.68
NG-00169,Lucknow District Court,Civil Dispute,2024-09-01,2024,,21.94,0,6,2,21.94
NG-00170,Noida District Court,Cheque Bounce,2018-07-01,2018,2022-09-07 18:07:13.099499754,50.25,1,8,2,50.25
NG-00171,Jaipur District Court,Cheque Bounce,2024-07-01,2024,,23.98,0,9,5,23.98
NG-00172,Lucknow District Court,Cheque Bounce,2019-10-01,2019,2024-02-01 04:19:05.110778478,52.04,1,5,1,52.04
NG-00173,Lucknow District Court,Family,2023-09-01,2023,,33.97,0,13,0,33.97
NG-00174,Jaipur District Court,Cheque Bounce,2023-04-01,2023,2025-01-08 06:31:42.357597072,21.3,1,4,1,21.3
NG-00175,Jaipur District Court,Property,2020-04-01,2020,2024-06-02 09:27:58.971080367,50.05,1,8,3,50.05
NG-00176,Noida District Court,Family,2020-08-01,2020,2022-11-12 07:19:33.858551239,27.38,1,6,1,27.38
NG-00177,Jaipur District Court,Family,2018-09-01,2018,2020-08-24 12:04:18.485105447,23.77,1,11,1,23.77
NG-00178,Noida District Court,Civil Dispute,2023-07-01,2023,2025-02-05 03:28:31.584896771,19.22,1,4,1,19.22
NG-00179,Delhi District Court,Property,2021-07-01,2021,2025-03-12 00:58:01.066065703,44.35,1,5,0,44.35
NG-00180,Delhi District Court,Cheque Bounce,2019-02-01,2019,2021-10-31 13:09:41.064788508,32.97,1,9,3,32.97
NG-00181,Jaipur District Court,Motor Accident,2018-05-01,2018,2020-05-27 05:56:19.588009064,24.88,1,6,1,24.88
NG-00182,Jaipur District Court,Family,2022-01-01,2022,2024-04-18 02:06:02.535763510,27.53,1,11,1,27.53
NG-00183,Lucknow District Court,Family,2019-12-01,2019,2022-04-04 22:51:18.473980000,28.12,1,8,3,28.12
NG-00184,Delhi District Court,Motor Accident,2019-10-01,2019,2021-10-12 17:16:38.867896989,24.4,1,6,2,24.4
NG-00185,Noida District Court,Property,2025-05-01,2025,,13.99,0,8,1,13.99
NG-00186,Lucknow District Court,Property,2022-10-01,2022,2025-07-27 17:44:25.716532122,33.86,1,8,4,33.86
NG-00187,Jaipur District Court,Cheque Bounce,2018-10-01,2018,2019-11-03 06:34:24.535075857,13.08,1,8,2,13.08
NG-00188,Lucknow District Court,Civil Dispute,2021-02-01,2021,2025-10-03 10:56:14.673520763,56.03,1,6,4,56.03
NG-00189,Lucknow District Court,Motor Accident,2021-09-01,2021,,57.95,0,11,2,57.95
NG-00190,Lucknow District Court,Property,2024-06-01,2024,,24.97,0,7,0,24.97
NG-00191,Jaipur District Court,Motor Accident,2023-01-01,2023,2024-12-21 05:19:51.034683771,23.66,1,5,4,23.66
NG-00192,Lucknow District Court,Motor Accident,2021-11-01,2021,2025-01-07 02:01:33.689655624,38.21,1,6,1,38.21
NG-00193,Delhi District Court,Family,2025-04-01,2025,,14.98,0,8,2,14.98
NG-00194,Jaipur District Court,Cheque Bounce,2023-02-01,2023,2025-07-02 01:37:54.265195381,28.98,1,6,4,28.98
NG-00195,Jaipur District Court,Motor Accident,2024-07-01,2024,,23.98,0,6,4,23.98
NG-00196,Delhi District Court,Civil Dispute,2024-02-01,2024,,28.94,0,3,4,28.94
NG-00197,Delhi District Court,Cheque Bounce,2023-01-01,2023,2025-09-24 08:48:03.584013197,32.77,1,7,2,32.77
NG-00198,Delhi District Court,Cheque Bounce,2024-06-01,2024,2026-04-02 10:20:26.311753933,22.02,1,2,3,22.02
NG-00199,Delhi District Court,Family,2022-03-01,2022,2023-10-08 23:28:08.240933150,19.28,1,10,0,19.28
NG-00200,Jaipur District Court,Cheque Bounce,2023-05-01,2023,,38.01,0,6,2,38.01
NG-00201,Noida District Court,Cheque Bounce,2023-10-01,2023,,32.98,0,7,1,32.98
NG-00202,Lucknow District Court,Civil Dispute,2023-04-01,2023,2025-04-04 13:01:29.508308690,24.13,1,11,2,24.13
NG-00203,Lucknow District Court,Property,2020-03-01,2020,2022-12-09 00:18:04.647179459,33.28,1,4,1,33.28
NG-00204,Delhi District Court,Cheque Bounce,2025-12-01,2025,,6.96,0,10,1,6.96
NG-00205,Delhi District Court,Civil Dispute,2023-01-01,2023,,41.95,0,10,2,41.95
NG-00206,Delhi District Court,Cheque Bounce,2021-08-01,2021,2023-03-11 15:21:28.639957075,19.3,1,6,1,19.3
NG-00207,Noida District Court,Civil Dispute,2018-10-01,2018,2021-01-24 01:35:09.979647256,27.79,1,9,2,27.79
NG-00208,Jaipur District Court,Civil Dispute,2025-07-01,2025,,11.99,0,7,2,11.99
NG-00209,Delhi District Court,Property,2020-04-01,2020,2022-10-02 10:56:35.959009608,30.04,1,9,2,30.04
NG-00210,Noida District Court,Cheque Bounce,2024-11-01,2024,,19.94,0,3,6,19.94
NG-00211,Lucknow District Court,Motor Accident,2022-07-01,2022,2023-07-26 11:06:38.513408904,12.83,1,4,2,12.83
NG-00212,Noida District Court,Property,2024-01-01,2024,,29.96,0,10,1,29.96
NG-00213,Noida District Court,Family,2022-09-01,2022,,45.96,0,7,6,45.96
NG-00214,Delhi District Court,Civil Dispute,2021-04-01,2021,2022-04-14 09:37:31.800681929,12.43,1,3,0,12.43
NG-00215,Delhi District Court,Family,2020-09-01,2020,2023-02-09 18:58:24.992830119,29.3,1,4,0,29.3
NG-00216,Lucknow District Court,Motor Accident,2019-11-01,2019,2021-07-04 03:47:56.053421393,20.08,1,4,4,20.08
NG-00217,Lucknow District Court,Civil Dispute,2021-10-01,2021,2023-04-12 03:53:59.776169930,18.34,1,15,2,18.34
NG-00218,Jaipur District Court,Cheque Bounce,2022-10-01,2022,2026-04-11 16:44:33.401076639,42.34,1,6,5,42.34
NG-00219,Jaipur District Court,Motor Accident,2023-03-01,2023,2025-04-24 16:40:49.177256134,25.81,1,9,2,25.81
NG-00220,Lucknow District Court,Property,2021-01-01,2021,2022-10-27 11:25:03.614736141,21.83,1,3,3,21.83
NG-00221,Jaipur District Court,Motor Accident,2022-06-01,2022,2024-12-16 19:13:43.621900631,30.55,1,9,4,30.55
NG-00222,Delhi District Court,Property,2018-11-01,2018,2024-08-31 01:42:25.296339922,69.98,1,9,2,69.98
NG-00223,Jaipur District Court,Cheque Bounce,2023-01-01,2023,,41.95,0,12,0,41.95
NG-00224,Lucknow District Court,Motor Accident,2020-12-01,2020,2022-05-12 18:18:13.507490361,17.34,1,6,1,17.34
NG-00225,Noida District Court,Civil Dispute,2023-07-01,2023,,36.01,0,9,6,36.01
NG-00226,Jaipur District Court,Property,2024-05-01,2024,,25.99,0,6,0,25.99
NG-00227,Noida District Court,Family,2018-04-01,2018,2020-05-24 17:54:51.178787441,25.78,1,6,1,25.78
NG-00228,Noida District Court,Motor Accident,2022-01-01,2022,2023-06-24 07:19:46.617090692,17.72,1,7,2,17.72
NG-00229,Delhi District Court,Family,2020-10-01,2020,2023-12-27 11:01:53.243445244,38.85,1,5,2,38.85
NG-00230,Lucknow District Court,Motor Accident,2022-08-01,2022,2024-05-31 23:49:03.788619876,22.01,1,3,3,22.01
NG-00231,Delhi District Court,Motor Accident,2021-02-01,2021,2026-03-07 03:44:08.935237936,61.11,1,5,9,61.11
NG-00232,Delhi District Court,Property,2022-07-01,2022,,48.0,0,14,3,48.0
NG-00233,Lucknow District Court,Cheque Bounce,2022-02-01,2022,2024-12-04 10:57:41.529012171,34.08,1,5,3,34.08
NG-00234,Jaipur District Court,Motor Accident,2019-02-01,2019,2021-02-21 18:27:14.762860338,24.7,1,4,4,24.7
NG-00235,Noida District Court,Family,2023-06-01,2023,2025-01-21 18:26:45.601121132,19.74,1,8,3,19.74
NG-00236,Lucknow District Court,Cheque Bounce,2023-04-01,2023,2025-01-28 12:23:01.708705737,21.96,1,4,3,21.96
NG-00237,Jaipur District Court,Cheque Bounce,2019-01-01,2019,2020-10-21 18:36:43.924246626,21.67,1,7,2,21.67
NG-00238,Delhi District Court,Motor Accident,2023-10-01,2023,2025-03-19 12:03:23.154278307,17.59,1,6,4,17.59
NG-00239,Delhi District Court,Family,2021-12-01,2021,2024-05-03 09:25:15.922295814,29.05,1,11,2,29.05
NG-00240,Delhi District Court,Cheque Bounce,2021-10-01,2021,2025-01-03 10:18:07.430646553,39.11,1,4,3,39.11
NG-00241,Delhi District Court,Civil Dispute,2022-02-01,2022,2024-02-06 22:52:31.040505808,24.18,1,5,1,24.18
